일시,전력사용량
2021-10-20,42783392
2021-10-20 오전 1:00:00,42787024
2021-10-20 오전 2:00:00,42790732
2021-10-20 오전 3:00:00,42794400
2021-10-20 오전 4:00:00,42798000
2021-10-20 오전 5:00:00,42801672
2021-10-20 오전 6:00:00,42805400
2021-10-20 오전 7:00:00,42809228
2021-10-20 오전 8:00:00,42813976
2021-10-20 오전 9:00:00,42820516
2021-10-20 오전 10:00:00,42828088
2021-10-20 오전 11:00:00,42835456
2021-10-20 오후 12:00:00,42842856
2021-10-20 오후 1:00:00,42849008
2021-10-20 오후 2:00:00,42855680
2021-10-20 오후 3:00:00,42862668
2021-10-20 오후 4:00:00,42869564
2021-10-20 오후 5:00:00,42875896
2021-10-20 오후 6:00:00,42881172
2021-10-20 오후 7:00:00,42886344
2021-10-20 오후 8:00:00,42891268
2021-10-20 오후 9:00:00,42895472
2021-10-20 오후 10:00:00,42899552
2021-10-20 오후 11:00:00,42903336
2021-10-21,42907048
2021-10-21 오전 1:00:00,42910764
2021-10-21 오전 2:00:00,42914504
2021-10-21 오전 3:00:00,42918216
2021-10-21 오전 4:00:00,42921876
2021-10-21 오전 5:00:00,42925472
2021-10-21 오전 6:00:00,42929088
2021-10-21 오전 7:00:00,42932908
2021-10-21 오전 8:00:00,42937744
2021-10-21 오전 9:00:00,42944532
2021-10-21 오전 10:00:00,42952028
2021-10-21 오전 11:00:00,42959296
2021-10-21 오후 12:00:00,42966500
2021-10-21 오후 1:00:00,42973064
2021-10-21 오후 2:00:00,42979580
2021-10-21 오후 3:00:00,42986344
2021-10-21 오후 4:00:00,42992376
2021-10-21 오후 5:00:00,42998276
2021-10-21 오후 6:00:00,43003388
2021-10-21 오후 7:00:00,43008444
2021-10-21 오후 8:00:00,43013232
2021-10-21 오후 9:00:00,43017392
2021-10-21 오후 10:00:00,43021460
2021-10-21 오후 11:00:00,43025344
2021-10-22,43029172
2021-10-22 오전 1:00:00,43032936
2021-10-22 오전 2:00:00,43036748
2021-10-22 오전 3:00:00,43040564
2021-10-22 오전 4:00:00,43044324
2021-10-22 오전 5:00:00,43048060
2021-10-22 오전 6:00:00,43051776
2021-10-22 오전 7:00:00,43055672
2021-10-22 오전 8:00:00,43060548
2021-10-22 오전 9:00:00,43067068
2021-10-22 오전 10:00:00,43074372
2021-10-22 오전 11:00:00,43081572
2021-10-22 오후 12:00:00,43088536
2021-10-22 오후 1:00:00,43094320
2021-10-22 오후 2:00:00,43100084
2021-10-22 오후 3:00:00,43106024
2021-10-22 오후 4:00:00,43111916
2021-10-22 오후 5:00:00,43117708
2021-10-22 오후 6:00:00,43122360
2021-10-22 오후 7:00:00,43126736
2021-10-22 오후 8:00:00,43130916
2021-10-22 오후 9:00:00,43134764
2021-10-22 오후 10:00:00,43138624
2021-10-22 오후 11:00:00,43142368
2021-10-23,43146076
2021-10-23 오전 1:00:00,43149772
2021-10-23 오전 2:00:00,43153444
2021-10-23 오전 3:00:00,43157120
2021-10-23 오전 4:00:00,43160732
2021-10-23 오전 5:00:00,43164220
2021-10-23 오전 6:00:00,43167688
2021-10-23 오전 7:00:00,43171252
2021-10-23 오전 8:00:00,43175308
2021-10-23 오전 9:00:00,43179684
2021-10-23 오전 10:00:00,43183880
2021-10-23 오전 11:00:00,43188004
2021-10-23 오후 12:00:00,43192208
2021-10-23 오후 1:00:00,43196204
2021-10-23 오후 2:00:00,43199968
2021-10-23 오후 3:00:00,43203752
2021-10-23 오후 4:00:00,43207548
2021-10-23 오후 5:00:00,43211152
2021-10-23 오후 6:00:00,43214540
2021-10-23 오후 7:00:00,43217928
2021-10-23 오후 8:00:00,43221268
2021-10-23 오후 9:00:00,43224568
2021-10-23 오후 10:00:00,43227876
2021-10-23 오후 11:00:00,43231204
2021-10-24,43234500
2021-10-24 오전 1:00:00,43237728
2021-10-24 오전 2:00:00,43240908
2021-10-24 오전 3:00:00,43244096
2021-10-24 오전 4:00:00,43247292
2021-10-24 오전 5:00:00,43250476
2021-10-24 오전 6:00:00,43253532
2021-10-24 오전 7:00:00,43256660
2021-10-24 오전 8:00:00,43260304
2021-10-24 오전 9:00:00,43264128
2021-10-24 오전 10:00:00,43267624
2021-10-24 오전 11:00:00,43271136
2021-10-24 오후 12:00:00,43274692
2021-10-24 오후 1:00:00,43278240
2021-10-24 오후 2:00:00,43281664
2021-10-24 오후 3:00:00,43285160
2021-10-24 오후 4:00:00,43288824
2021-10-24 오후 5:00:00,43292644
2021-10-24 오후 6:00:00,43296240
2021-10-24 오후 7:00:00,43299804
2021-10-24 오후 8:00:00,43303324
2021-10-24 오후 9:00:00,43306664
2021-10-24 오후 10:00:00,43309956
2021-10-24 오후 11:00:00,43313264
2021-10-25,43316536
2021-10-25 오전 1:00:00,43319784
2021-10-25 오전 2:00:00,43322980
2021-10-25 오전 3:00:00,43326224
2021-10-25 오전 4:00:00,43329532
2021-10-25 오전 5:00:00,43332828
2021-10-25 오전 6:00:00,43335940
2021-10-25 오전 7:00:00,43339300
2021-10-25 오전 8:00:00,43343908
2021-10-25 오전 9:00:00,43350288
2021-10-25 오전 10:00:00,43357468
2021-10-25 오전 11:00:00,43364636
2021-10-25 오후 12:00:00,43371920
2021-10-25 오후 1:00:00,43378076
2021-10-25 오후 2:00:00,43384576
2021-10-25 오후 3:00:00,43391528
2021-10-25 오후 4:00:00,43398428
2021-10-25 오후 5:00:00,43404988
2021-10-25 오후 6:00:00,43410188
2021-10-25 오후 7:00:00,43415184
2021-10-25 오후 8:00:00,43420072
2021-10-25 오후 9:00:00,43424532
2021-10-25 오후 10:00:00,43428768
2021-10-25 오후 11:00:00,43432596
2021-10-26,43436420
2021-10-26 오전 1:00:00,43440176
2021-10-26 오전 2:00:00,43443848
2021-10-26 오전 3:00:00,43447508
2021-10-26 오전 4:00:00,43451192
2021-10-26 오전 5:00:00,43454944
2021-10-26 오전 6:00:00,43458600
2021-10-26 오전 7:00:00,43462392
2021-10-26 오전 8:00:00,43467196
2021-10-26 오전 9:00:00,43473956
2021-10-26 오전 10:00:00,43481304
2021-10-26 오전 11:00:00,43488332
2021-10-26 오후 12:00:00,43495236
2021-10-26 오후 1:00:00,43501084
2021-10-26 오후 2:00:00,43507496
2021-10-26 오후 3:00:00,43514104
2021-10-26 오후 4:00:00,43520928
2021-10-26 오후 5:00:00,43527444
2021-10-26 오후 6:00:00,43532820
2021-10-26 오후 7:00:00,43538108
2021-10-26 오후 8:00:00,43543236
2021-10-26 오후 9:00:00,43547496
2021-10-26 오후 10:00:00,43551544
2021-10-26 오후 11:00:00,43555204
2021-10-27,43558836
2021-10-27 오전 1:00:00,43562476
2021-10-27 오전 2:00:00,43566040
2021-10-27 오전 3:00:00,43569536
2021-10-27 오전 4:00:00,43573104
2021-10-27 오전 5:00:00,43576708
2021-10-27 오전 6:00:00,43580344
2021-10-27 오전 7:00:00,43584072
2021-10-27 오전 8:00:00,43588696
2021-10-27 오전 9:00:00,43594844
2021-10-27 오전 10:00:00,43601696
2021-10-27 오전 11:00:00,43608748
2021-10-27 오후 12:00:00,43615532
2021-10-27 오후 1:00:00,43621524
2021-10-27 오후 2:00:00,43627860
2021-10-27 오후 3:00:00,43634552
2021-10-27 오후 4:00:00,43641244
2021-10-27 오후 5:00:00,43647900
2021-10-27 오후 6:00:00,43653172
2021-10-27 오후 7:00:00,43658120
2021-10-27 오후 8:00:00,43662884
2021-10-27 오후 9:00:00,43667176
2021-10-27 오후 10:00:00,43671284
2021-10-27 오후 11:00:00,43675052
2021-10-28,43678744
2021-10-28 오전 1:00:00,43682432
2021-10-28 오전 2:00:00,43686148
2021-10-28 오전 3:00:00,43689792
2021-10-28 오전 4:00:00,43693428
2021-10-28 오전 5:00:00,43697144
2021-10-28 오전 6:00:00,43700876
2021-10-28 오전 7:00:00,43704884
2021-10-28 오전 8:00:00,43709780
2021-10-28 오전 9:00:00,43715764
2021-10-28 오전 10:00:00,43723076
2021-10-28 오전 11:00:00,43730236
2021-10-28 오후 12:00:00,43737288
2021-10-28 오후 1:00:00,43743280
2021-10-28 오후 2:00:00,43749552
2021-10-28 오후 3:00:00,33756400
2021-10-28 오후 4:00:00,33763136
2021-10-28 오후 5:00:00,33769672
2021-10-28 오후 6:00:00,33774980
2021-10-28 오후 7:00:00,33780140
2021-10-28 오후 8:00:00,33785220
2021-10-28 오후 9:00:00,33789688
2021-10-28 오후 10:00:00,33793876
2021-10-28 오후 11:00:00,33797756
2021-10-29,33801588
2021-10-29 오전 1:00:00,33805424
2021-10-29 오전 2:00:00,33809264
2021-10-29 오전 3:00:00,33812940
2021-10-29 오전 4:00:00,33816528
2021-10-29 오전 5:00:00,33820144
2021-10-29 오전 6:00:00,33823784
2021-10-29 오전 7:00:00,33827576
2021-10-29 오전 8:00:00,33832220
2021-10-29 오전 9:00:00,33838620
2021-10-29 오전 10:00:00,33845832
2021-10-29 오전 11:00:00,33852848
2021-10-29 오후 12:00:00,33859772
2021-10-29 오후 1:00:00,33865620
2021-10-29 오후 2:00:00,33872016
2021-10-29 오후 3:00:00,33878656
2021-10-29 오후 4:00:00,33884428
2021-10-29 오후 5:00:00,33889848
2021-10-29 오후 6:00:00,33894304
2021-10-29 오후 7:00:00,33898460
2021-10-29 오후 8:00:00,33902452
2021-10-29 오후 9:00:00,33906264
2021-10-29 오후 10:00:00,33910140
2021-10-29 오후 11:00:00,33913828
2021-10-30,33917308
2021-10-30 오전 1:00:00,33920860
2021-10-30 오전 2:00:00,33924388
2021-10-30 오전 3:00:00,33927896
2021-10-30 오전 4:00:00,33931352
2021-10-30 오전 5:00:00,33934824
2021-10-30 오전 6:00:00,33938244
2021-10-30 오전 7:00:00,33941680
2021-10-30 오전 8:00:00,33945420
2021-10-30 오전 9:00:00,33949360
2021-10-30 오전 10:00:00,33953268
2021-10-30 오전 11:00:00,33957164
2021-10-30 오후 12:00:00,33961024
2021-10-30 오후 1:00:00,33964868
2021-10-30 오후 2:00:00,33968732
2021-10-30 오후 3:00:00,33972612
2021-10-30 오후 4:00:00,33976364
2021-10-30 오후 5:00:00,33980128
2021-10-30 오후 6:00:00,33983860
2021-10-30 오후 7:00:00,33987524
2021-10-30 오후 8:00:00,33991024
2021-10-30 오후 9:00:00,33994408
2021-10-30 오후 10:00:00,33997836
2021-10-30 오후 11:00:00,34001248
